question,answer,image_id
what is under the counter and behind the floor mat,radiator,image123
what is on the top of the counter between the paper cups and the paper boxes,napkin_dispenser,image123
how many blackboards are in the picture,3,image123
how many tumblers are on the counter,4,image124
what is between the white mug and the paper cups on the counter,ornamental_plant,image124
what color is the counter,"white, brown",image124
what is on the cabinet in front of the dish rack,casserole_dish,image130
how many plates are in the dish rack,2,image130
how many cabinets are above the sink and the dish rack,3,image130
how many tiers does the spice rack have,3,image133
what is hanging on the wall between the spice rack and the cabinet,kichen_towel,image133
what color is the cabinet above the sink,white,image133
what is the electrical object on the cabinet,blender,image134
what color is the kitchen towel hanging on the cabinet handle,yellow,image134
what is on the refridgerator door,picture,image134
what is above the oven on the wall,microwave,image136
what is in the rack on the wall,spice_bottle,image136
what is the dish on the oven made of,aluminium_foil,image136
what color is the toaster oven on the top of the cabinet,white,image139
what color is the salt shaker below the electrical outlet,red,image139
how many electrical objects are on the cabinet,2,image139
what is on the cabinet in front of the electrical kettle,vegetable_peeler,image140
what is in front of the oven rack,faucet,image140
what is between the wall and the scissor on the right side of the sink,pitcher,image140
what is on the top of the oven,"cutting_board, pot",image145
how many knobs does the oven have,4,image145
what is on the cabinet on the left side of the pot,toaster_oven,image145
what is on the top of the fan coil,book,image156
what is between the fan coil and the sofa,"tv_stand, television",image156
what color are the blinds,white,image156
what is below the light switch on the right side of the door,package_of_bottled_water,image159
what is leaning against the wall in the corridor,chair,image163
what is on the tv stand,dvds,image163
what is in the wooden tv stand,book,image164
how many bowls are on the tv stand,2,image164
how many frames are on the wall,1,image167
what is on the side table close to the magazines,ashtray,image168
what is the glass object close to the side table,vase,image168
what color are the towels reflected in the mirror,blue,image170
how many colors does the shower curtain have,4,image170
what is on the right side of the faucet,bottle_of_hand_wash_liquid,image170
what is the wooden object in front of the radiator,dresser,image171
what is in the top shelf of the book case,book,image171
what color is the armchair on the right side of the door way,brown,image171
what is on the dark brown armchair on the right side of the door way,"pillow, backpack",image172
what is on the table between the dark brown armchairs,"paper, book",image172
what color is the carpet below the bed,green,image172
what is the largest black object in this picture,television,image177
how many pictures are on the wall around the television,3,image177
what color is the ironing board on the right side of the picture,white,image181
what is below the rolled blanket,carton,image181
what color is the shade of the table lamp close to the bookshelf,white,image181
what is the black rectangular object on the mattress,remote_control,image183
how many black objects are on the bed,3,image183
how many bottles are on the top pf the bookcase,4,image187
what is below the blue jean,"desk, box",image187
how many lamps are on in this picture,1,image187
how many frames are on the wall,2,image192
what is below the television,dresser,image192
what color is the dish washing sponge close to the sink,"green, yellow",image194
what are the wooden objects in this picture,"cabinet, cutting_board",image194
what color is the dish rack,black,image194
which objects are around the sink,"hair_brush, bottle_of_hand_wash_liquid, toothbrush_holder, toothbrush, faucet, faucet_handle",image195
what is reflected in the mirror,shower_curtain,image195
what is the largest object on the cabinet,flask,image198
what is in the bottom row of the cabinet,onion,image198
what color is the pitcher close to the bowl,white,image198
what is the yellow object close to the faucet,dish_brush,image204
what color is the cutting board behind the dish rack,white,image204
how many electrical appliances are on the cabinet,2,image205
what is between the cabinet and the wall,refridgerator,image205
what is on the cabinet behind the roll of paper towels and the can,crock_pot,image206
how many kitchen towels are on the cabinet,2,image206
what color is the doors of the cabinets,white,image206
how many frames are on the wall of the kitchen,2,image207
what color is the kitchen towel hanging on the handle of the cabinet,white,image207
what is on the top of the bookshelf below the frame,box,image207
what is on the top shelf of the bookcase close to the face shape sculpture,decorative_candle,image207
what color is the chair in front of the desk,red,image210
what is the gray object close to the white board,curtain,image210
how many layers does the file holder on the desk have,3,image210
what is hanging from the ceiling above the table,chandelier,image223
what color is the column in the middle of the store,brown,image223
how many shelves does the cabinet with light green dishes have,4,image223
what color are the mats on the table on the left side of the picture,pink,image225
what are the circle shape objects on the table on the right side of the picture,box,image234
what kind of containers are on the dark brown wall shelves,vase,image234
how many lamps are above the cash desk,2,image234
how many vases are on the coffee table in front of the light blue armchair,2,image237
how many colors do the armchairs and their cushions have,2,image237
what colors do the stools around the table have,"blue, white",image239
what is leaning against the wall on the left side of the white cabinet,ladder,image239
what color is the chandelier hanging from the ceiling,black,image245
what color is the pipe behind the room divider,red,image245
what is in the shelf on the right side of the room,decorative_bowl,image245
how many black chairs are behind the coffee table,2,image248
what color is the dresser below the white lamp shade,white,image248
what color is the table below the black chandelier,white,image249
how many cushions are on the black sofa,2,image249
how many larg frames are on the wall,2,image249
how many rows does the spice rack have,4,image252
how many handles does the faucet have,1,image252
how many remote controls are on the tv stand,1,image259
what are the black objects on the tv stand,"television, dvd_player",image259
how many high stools are in front of the kitchen counter,2,image263
what is on the right side of the kitchen counter close to the wall,scale,image263
what color is the tablecloth,green,image263
how many chairs are around the conference table in this picture,5,image271
what colors is the conference table,"brown, black",image271
what is the red object in this picture,fire_alarm,image273
what colors are the garbage bins close to the wall,"white, blue",image273
what color is the light above the door at the end of the room,pink,image275
what is on the wall on the left side of the room,whiteboard,image275
what is the largest blue object in this picture,table,image276
how many toys are on the bed,3,image280
what is on the floor and on the right side of the painting,toy_box,image280
what color is the window shutter,white,image280
what is the most colorful object in this picture,rug,image285
what color is the chair on the carpet,blue,image285
what color are the circles in the picture below the whiteboard,green,image285
how many rolling chairs are in this picture,1,image290
what color is the picture on the right side of the whiteboard,"yellow, red, orange",image290
how many plastic toy containers are below the table in front of the wall,6,image292
what is covering the wall above the cabinet,picture,image292
what colors are the garbage bins,"blue, gray",image292
what colors are the circles on the back of the chairs,"green, yellow",image294
what is on the right side of the desk on the floor,garbage_bin,image294
what is the round object at the end of the room in front of the blue boxes,globe,image308
what color is the lamp shade on the desk,red,image308
what is hanging on the hangers on the right side of the room,backpack,image309
how many lamps are on the ceiling,2,image309
which objects are used in this room to show the world,"globe, map",image309
what is the round colorful object on the floor,rug,image316
what colors are the notebooks on the blue table,"orange, white",image316
how many chairs are around the green table,6,image317
what colors are the tables with the orange notebooks on them,"yellow, green",image317
what color are the children tshirtsg,red,image318
what color are the pencil holders on the table on the right side of the room,green,image318
what is on the brown board on the wall,paper,image318
what is the flower shaped object on the toy sofa,pillow,image325
which object has the circle shaped design,rug,image325
what color is the water flask on the desk,blue,image334
how many monitors are off in this picture,4,image334
what is the round object on the wall,clock,image336
how many computer mouses are in this picture,3,image336
what is in the corner of the wall,whiteboard,image339
what colors are the walls in this picture,"yellow, white",image339
what is the red object on the desk,pen_holder,image360
what color is the window shutter,white,image360
how many frames are on the desk,1,image360
what is on the brown board on the desk,"paper, picture",image361
what is in the red mug on the desk,"pen, pencil",image361
what is the most frequent object in the room,book,image374
what is on the desk,"desk_mat, paper, book, napkin_dispenser",image374
what color is the frame in front of the bookshelf on the floor,black,image377
what color is the paper under the black frame on the floor,pink,image377
how many wall lamp shades are in the picture,1,image381
how many drawers are on the left side of the desk,10,image381
what color is the leather sofa,brown,image383
how many chairs are in front of the desk,2,image383
what is on the desk,book,image384
what color is the wall behind the leather chair,brown,image384
how many white monitors are on the desk,1,image389
what is on the left side of the desk close to a bunch of paper,printer,image389
what color is the plastic bag on the desk,"white, red",image390
how many white paper folders are on the desk,2,image390
how many frames are on the wall,4,image396
what color are the blinds,white,image396
how many shelves are above the monitor,2,image396
what is on the right side of the bookshelf,toy_house,image400
what color is the rocking chair in front of the bookshelf,white,image400
how many toy chairs are on the floor,2,image402
what color is the plastic toy container on the toy chair,blue,image402
what is the round object between the armchairs,ottoman,image403
what is behind the armchairs and ottoman,railing,image403
what is in the corner of the wall close to the garbage bin,water_dispenser,image414
what color is the door of the garbage bin,black,image414
what color are the chair seats around the table,red,image414
what is the largest blue object in this picture,water_carboy,image417
what color is the chair seat pad,black,image417
what is the purple box on the table,napkin_dispenser,image419
what color is the bed sheet,blue,image419
how many pink towels are on the pile of clothes,1,image419
what kinds of tables are in the picture,"foosball_table, toy_table",image422
how many frames are on the wall close to the window,6,image422
what is the black and white toy behind the foosball table on the floor,ball,image422
how many pairs of socks are on the toy table,1,image424
what color is the kitchen counter,red,image432
how many kitchen stools are in front of the kitchen counter,2,image432
what color is the circle shaped carpet below the stool,red,image432
what is between the two black chairs on the floor,ottoman,image434
which decorative object is in this picture,vase,image434
what is on the door of the wardrobe,mirror,image441
what color are the blinds,white,image441
how many pictures are on the wall on the right side of the window,2,image441
what is on the floor on the left side of the shelf,toy_truck,image442
what is between the toy truck and the toy shelf,doll_house,image443
what color is the plastic toy container close to the door way,blue,image443
how many toy boxes are on the top of the toy shelf,2,image443
how many doll houses are in the room,3,image444
what color is the stool close to the baby towel,"black, white",image444
what color is the door of the doll house in front of the wall behind the armchair,"blue, red",image444
what colors are the folding chairs,"green, yellow",image445
what is the largest dark blue object in this picture,sofa,image445
how many toy boxes are on the floor,2,image447
what is the yellow object on the floor on the right side of the toy box,chair,image447
how many tape dispensers are on the cabinet below the brown board,3,image450
what color are the cabinets,brown,image450
what is on the chair back behind the counter,jacket,image453
how many pens are on the counter,2,image453
how many frames are hanging on the wall,3,image462
what colors are the carpet under the coffee table,"black, brown, white, gray, pink",image462
how many doors does the bookshelf have,4,image472
what is the largest wooden object in this picture,bookshelf,image472
what is on the end table between the chairs,book,image478
how many four leg objects are in this picture,4,image478
what is the largest black object in this picture,sofa,image488
what color is the side table on the left side of the sofa,brown,image488
how many electrical outlets are behind the lamp shade,2,image488
how many white plastic boxes are close to the wall,3,image491
what is the white cylinder shaped object in front of the wall,water_heater,image491
what is on the floor in front of the toilet,floor_mat,image506
what is in the basket on the right side of the toilet,magazine,image506
what color is the bathroom mat on the floor,red,image508
what is the shower door made of,glass,image508
what color is the frame of the window,white,image508
what kind of toothbrush is close to the sink,electric_toothbrush,image509
what is on the left side of the faucet with black cap,bottle_of_listerine,image509
how many electric toothbrushes are close to the sink,3,image509
what are the golden objects below the mirror,"faucet, faucet_handle",image510
what color is the flower pattern on the glass on the right side of the faucet handle,white,image510
what is on the left side of the sink,"razor, toothpaste",image511
what is the white object on the left side of the toilet,bathtub,image511
what color is the handwash container on the left side of the faucet,brown,image511
what color is the frame of the mirror close to the wardrobe,white,image515
how many pieces does the curtain have,2,image515
how many lamp shades are in front of the window,2,image516
what color are the bed sheets,red,image516
what is on the desk close to the bookshelf,book,image517
what color is the bathrobe on the clothing drying rack,black,image517
which electric home appliance is on the right side of the table,clothing_iron,image523
what is the blue object on the left side of the clothing iron,ironing_board,image523
what color is the blind above the table,white,image523
which object has the colorful circle pattern,bed_sheets,image525
how many drawers does the night stand have,2,image525
what are the most colorful objects in this picture,"map, bed_sheets",image525
what colors do the circles of the bed sheet have,"yellow, orange, black, purple",image526
what is the largest dark brown object in this picture,dresser,image526
how many pillows are on the mattress,2,image532
what is the green and blue object in this picture,blanket,image532
what is on the left side of the mattress on the floor,"paper, napkin_dispenser",image532
what color is the sheet on the mattress,green,image534
how many dark blue objects are on the bed,1,image534
what color is the laundry basket on the floor,white,image539
what is the electric appliance on the top shelf of the bookcase and close to the basket,hair_dryer,image542
which rolled object is in this room,yoga_mat,image542
how many shelves does the bookcase have,4,image542
what color is the lamp shade in front of the window,white,image546
what is on the left side of the 3 tier round table,window,image548
what color is the door frame,brown,image548
how many sculptures are on the top of the round table,2,image548
what color is the paper towel holder on the dining table,brown,image550
how many chairs are around the table,6,image550
how many drawers does the filing cabinet have,4,image552
what color is the file container on the filing cabinet,white,image552
what is the wooden object on the cabinet leaning against the wall,cutting_board,image564
what color are the drawer knobs,white,image564
what is hanging on the wall on the left side of the door way,calendar,image564
what is the electric appliance close to the dish rack,electric_mixer,image568
what is the red object below the kitchen counter on the left side of the stool,fire_extinguisher,image569
how many knobs does the oven have,5,image569
what is the black object on the top of the microwave,coffee_machine,image570
what is hanging on the refridgerator handle,kichen_towel,image570
what is hanging on the cabinet above the sink,ladel,image575
what color is the window frame,blue,image575
what is the largest black object in the kitchen,dishwasher,image575
what is the white electric appliance close to the dish rack,electrical_kettle,image575
what color is the cabinet above the kitchen counter,brown,image577
how many cushions are on the sofa,2,image580
what is the largest glassy object in this picture,window,image580
how many frames are on the wall above the chair and the lamp shade,3,image588
what color is the coffee table in front of the sofa,brown,image588
what color are the candles in the candlesticks,red,image590
what is on the top of the cabinet,"candlestick, toy_dog",image590
what is the most colorful object in this picture,rug,image590
what is the dark red object in this picture,curtain,image594
what is the object for air conditioning,fan,image595
what is on the coffee table,"paper, console_controller, remote_control",image598
how many stairs are on the right side of the stair railing,2,image601
how many bicycles are hanging on the wall,1,image603
what is on the left side of the reading lamp on the desk,monitor,image603
what color is the stool below the table,"white, brown",image607
how many shelves does the bookcase have,4,image607
what is the only leather object in this room,chair,image612
what color is the lamp shade on the cabinet,white,image612
what is the rectangular wooden object on the desk,paper_holder,image614
what is below the colorful painting on the cabinet,printer,image614
how many side chairs are on the right side of the dining table in front of the window,4,image1404
what is the white object below the reception desk on the floor,radiator,image123
how many pieces of glass does the table have in this picture,3,image462
how many electrical outlets are above the kitchen counter in this picture,1,image839
what is on the right side of the bookshelf in front of the curtain,chair,image381
how many ottomans are around the table,1,image434
what is spread on the floor below the dining table,rug,image1449
what is the colorful object containing white soaps on the left side of the sink,decorative_dish,image682
how many drawer knobs does the desk have,5,image1053
what is hanging on the rod below the sink,towel,image663
how many lamps are above the cash desk,3,image114
what are the objects on the coffee table,"book, decorative_bowl",image1288
what color is the door of the toy tent,brown,image1157
what is the red object on the desk on the right side of the mouse,pen_cup,image360
what is in front of the glass door of the dresser,book,image1061
what are the green objects between the cage and window on the floor,ornamental_plant,image1300
what is behind the pull down faucet,window_shelf,image807
what color are the stools under the table,"white, blue",image756
which wall mounted objects are on the left side of the toilet,"towel_rod, toilet_paper_holder",image705
what is on the handle of the dishwasher,kichen_towel,image848
what is the main color of the blanket on the bed,blue,image920
what is the round object in front of the blue boxes at the end of the room,globe,image308
what color is the floor in this picture,brown,image167
what color are the handles of the cabinets,pink,image862
what is the dining table made of,glass,image1440
what color is the flower shaped pillow on the blue toy sofa,"purple, yellow",image325
what is the largest round object in this picture,ottoman,image1299
what is in the corner of the wall,whiteboard,image339
what color is the towels reflected in the mirror,blue,image170
what is between the two armchairs,bookshelf,image1216
what is the red and gray object in front of the mirror and close to the edge of the desk,deoderant,image77
what is on the cabinet close to the roll of paper towels,knife_rack,image898
how many lamps are on the ceiling,3,image797
how crest rails are behind the dining table,3,image1399
what are behind the armchairs on the left and right sides of the television,lamp,image1232
what kind of toys are between the bookshelf and the chair,soft_toy,image1001
what is the gray object on the kitchen table close to the paper,spice_stand,image789
what is the round object on the wall above the television,clock,image163
how many drawers does the dresser have,6,image964
what color is the cloth on the top of the clothing drying rack on the left side of the bed,black,image516
what is the name of the small appliance on the cabinet and on the left side of the pot,toaster_oven,image145
what colors are the backpacks in this store,"black, purple, blue, pink",image91
what is the brown leather object on the right side of the bookshelf,chair,image384
what color is the garbage bin on the right side of the desk on the floor,black,image612
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what color is the shower curtain and drawer knobs,green,image729
what color is the dresser below the salt shaker,brown,image1342
what colors are the flower patterns on the pillows,"orange, pink",image1074
how many toy boxes are under the table close to the wall,6,image292
what is the large black object on the left side of the bedroom in front of the radiator,dresser,image172
how many colors do the sweatshirts have,"blue, pink, black, white",image99
what is the light brown object on the left side of the cup shelf in front of the wall,ladder,image239
what is on the desk and below the window,"ironing_board, clothing_iron",image523
what kind of gym equipment is on the right side of the sofa,treadmill,image1318
what is on the left side of the bed and the belt,wardrobe,image1050
what is on the right side of the toilet on the floor,magazine_holder,image678
what is the largest red object in front of the shelf,sofa,image1293
what color is the ball on the floor on the right side of the bed,red,image1185
what color is the wall between the yelow chair and the dressing table,"gray, purple",image1101
how many frames are on the wall of the kitchen,2,image1351
what is between the sidetable and the window below the mantel,fireplace,image1225
what is the most frequent object in this picture,book,image84
how many chairs are around the dining table in this picture,7,image1352
how many monitors are off in front of the window on the desk,3,image334
how many frames are reflected in the mirror,1,image1384
what color is the lamp shades close to the sofa,white,image1229
which objects are in this room to show the countries,"map, globe",image309
how many pink cubes are on the top of the night stand on the left side of the bed,1,image1163
what are the most frequent colors in this bathroom,"white, black",image742
what are the two largest black objects in this picture,"bookshelf, treadmill",image1082
what are the objects on the floor near each other,"pool_table, sofa, coffee_table",image1206
what is close to the silver color garbage bin on the floor,garbage_bag,image877
what is above the oven on the top right of the kitchen counter,range_hood,image902
what is the smallest black object on the counter,key,image786
how many drawers does the night stand on the left side of the bed have,2,image1076
what color are the stars on the pillow,purple,image928
how many frames are on the wall between the blinds and the bookshelf,4,image396
what color is the small bin on the left side of the doorway on the floor,green,image1012
what color is the lamp shade close to the sofa in front of the curtain,white,image546
what are the silver objects on the left side of the wine bottles on the kitchen counter,candlestick,image1435
what kinds of tables are in this room,"toy_table, foosball_table",image422
what is in the round plastic bin close to the toy shelf,toy,image443
what are on the brown table,"book, magazine",image1345
what is reflected on the right side of the mirror on the wall,"towel_rod, towel",image665
what is the white object at the end of the room below the pink light,door,image275
how many gray computer chairs are in front of blue chairs,1,image290
how many bathroom basins are in this picture,2,image661
what color is the bath sponge below the faucet,green,image718
what is the round object on the floor in front of the bookshelf,rug,image316
how many candlesticks are on the shelf of the fireplace,2,image1380
what is on the top shelf of the bookcase close to the face shape sculpture,candle,image207
what color is the chair base in front of the desk,red,image986
what color is the lamp shade base on the night stand on the left side of the bed,red,image982
what is the blue object on the topmost row of the bookshelf close to the basket,hair_dryer,image542
what color is the door of the toyhouse behind the armchair,"blue, red",image444
what is in front of the curtain behind the armchair,guitar,image1294
what is the largest object on the blanket,laundry_basket,image1007
what color is the bath mat,white,image730
how many red objects are on the cabinets,1,image450
what is the blue object below the foosball table on the left side of the sofa,baby_chair,image424
what is the largest rectangular object in this picture,table,image1396
what is on the desk,"book, scissor, papers, tape_dispenser",image3
how many drawers does the dresser have,5,image1148
what is on the top the file cabinet,file_container,image552
what is between the magazines and the door,toilet,image506
what is the round object on the wall,clock,image336
what color is the blind above the left bed,purple,image1042
how many remote controls are on the tv stand,1,image259
how many bicycles are hanging on the wall,1,image603
what color is the cabinet above the kitchen counter,brown,image577
what are the black objects in the room,"dresser, television, sofa",image970
what is the colorful object on the top right of the window on the shelf,decorative_plate,image1437
what is the white object above the side table on the right side of the sofa,lamp_shade,image580
what kind of glass is in the sink,wine_glass,image204
what color is the soft toy on the floor on the left side of the bed,"brown, white",image1035
what is the metal object on top of the cabinet close to the oven knobs,can,image760
how many drawers of the dresser are open,2,image1004
what is the main color of the tablecloth,yellow,image772
what is the purple box the brown table,tissue_box,image419
how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
how many towel hangers are in the picture,2,image694
what is on the top of the dresser close to the red deoderant,box,image82
where are the toys kept in this picture,plastic_toy_container,image447
what is the black object on the right side of the sink below the cabinet,dish_rack,image252
what color is the cooking pan on the oven,black,image892
what are the dark brown objects in this picture,"piano, piano_bench",image1387
how many frames are on the wall behind the chairs,3,image1346
which object has the striped design,lamp_shade,image1266
what is the light blue object in this picture,wall,image1149
what is the wooden object between the bed and the rocking chair,night_stand,image1152
