question,answer,image_id
what is colour of the cutting board in the middle,green,image134
how many plastic toy containers are below the table in front of the wall,6,image292
how many chair are,3,image545
what is behind the teacher,shelves,image319
what is under the piano,stool,image1306
what is on the left side of the chair,table,image592
what is the object on the table,pot,image605
what are the things stuck on the refridgerator,photo,image835
what is the largest blue object in this picture,table,image276
what is above the tap,blinds,image771
what is on the end of the table,remote_control,image598
how many pictures are there on the wall,3,image588
what is on the left side of the plastic cover,remote_control,image792
what is the object in front of the window,chair,image40
what is on the left side of the the bath tub,toilet,image652
what is kept on the floor,garbage_bin,image703
what are found on the floor,"book, paper, shoe",image1071
what is the colour of the book on the top,paper,image517
what are the things found on the cabinet,"lamp, photo, books",image1183
what is on the washing machine,clothing_detergent,image493
what is to the left of the table,wall,image344
what is in front of the door,trampoline,image436
how many knobs in wash basin cupboard,4,image729
what are the silver objects on the left side of the wine bottles on the kitchen counter,candlestick,image1435
what is on the bed,toy_triangle,image446
what is on the shelf,papers,image64
what is to the left of the stove,knife_rack,image129
what is hung on the wall,wall_decoration,image1019
what is the colour of the window cover,green,image930
what is in front of the chair,cabinet,image1053
what is the colour of the towel,white,image720
what is on the right most side on the table,monitor,image829
how many objects are there on the wall and on the left side of the window,3,image1390
what is the object to the left of the bed,cabinet,image1129
what is on the television,dvd_player,image1223
what is on the right side of the bed,lamp,image1009
what is the object at the left side of the sink,towel,image693
what is behind the table,chair,image1345
what is on the pillow,toy_doll,image997
what are the objects found below the storage rack,"kitchen_utensils, coffee_machine",image808
what is the largest object on the stool,lamp,image1116
what is beneath the television,dvd_player,image1108
what is on the left side of the sink,bottle_of_liquid,image762
what is in front of the window,fan,image604
how many drawers are open,1,image819
what is behind the sofa,mirror,image1219
what is hung on the left side top corner of the mirror,medal,image1044
what is the colour of the laundry basket,blue,image406
what is the colour of bottles in the last shelf,"blue, white, black",image102
what is the large black object,television,image1134
what is on the left side of the sink,stand,image873
what is the colour of the clothes on the chair,pink,image418
what is on the left side of the table,bed,image937
what color is the piano,brown,image1387
what is the object close to the wall above the sink,mirror,image46
how many drawers are visible,8,image1065
what is behind the sofa,pool_table,image1206
what is on the drawer table,stove,image809
what object is found to the left side of the sofa,bed,image971
what is in front of the bed,chair,image1124
how many chairs surround the table,6,image54
what is on bed,pillow,image527
what is behind the table,window,image276
what is the colour of the chair,purple,image1265
what is on the table,papers,image332
what is left of chair,window,image531
what is behind the papers book,monitor,image621
what is in the bottom left corner,sofa,image1258
what is the colour of the book,brown,image515
how many draw handle displayed,2,image741
what is the colour of the towel,blue,image688
what is the colour of the chair,red,image1183
what is on the sofa,pillow,image424
what is in front of the pillow,comforter,image64
name a few things that are in the rack,"bottle, container, bottle_of_liquid",image577
what is on the left side of the bed,carton,image980
what color is the lamp shade on the cabinet,white,image612
what is found below the book rack,oven,image817
how many posters are,2,image184
what is near the table,bunk_bed,image365
what is in front of the gray rack,garbage_bin,image112
how many pillows are there,2,image71
how many frames are reflected in the mirror,2,image44
what is above the drawer,"framed_certificate, picture",image992
what color is the door,white,image1397
what is hanged on the chair,clothes,image1053
what is on the floor,floor_mat,image1172
what is behind the chair,door,image554
what is on the right side of the decoration plate,curtain,image1091
what is on the desk close to the bookshelf,book,image517
what is behind the chair,blinds,image1264
what is the candle holder by,incense_holder,image120
what object is on the table,lamp,image1074
where are the books,bookshelf,image627
what is present on the left side,table,image1032
what is on the bed,clothes,image1043
what is found on the right side,bed,image909
what is the colour of the floor mat,red,image351
what is above the tap,mirror,image679
what is on the left side of the picture,door,image1028
what objects are seen in the mirror,"sofa, photo, window, door",image1270
what is on the left side of the decorative item,door,image1236
what is to left of hanger,shelves,image517
what is in front of the chairs in the table,table,image1228
what is on the left side of the table,book,image626
what is the object close to the wall above the counter,mirror,image671
what is on the sofa,"pillow, clothes",image430
what is the border colour of the dinning table,red,image794
what is on the left side of the table,bookshelf,image964
what is the object close to the wall,photo,image1094
what is the largest object,refridgerator,image559
what is the object on the stool,lamp,image909
what is on the door,door_knob,image339
what is the object on the floor in front of the wall,cabinet,image1149
what is in front of the black wall on the right side of the projector screen,monitor,image7
what is the largest object,table,image1344
what is on the right side of the picture,bag,image975
what is on the wall,picture,image792
what is on the left most side,blinds,image1221
how many red objects are on the cabinets,1,image450
what colour shirt is the man wearing,black,image222
what is the colour of the chair,"brown, white",image1134
what is the object close to the ceiling and in front of the window,projector_screen,image27
how many drawer handles are there,5,image670
what is stuck on the wall,candelabra,image1324
what is the object on the side rack that rotates,notecards,image101
what object is blue in colour,sofa,image325
what is the object close to the door,door_knob,image650
what is the round object on the wall,clock,image336
what is in front of red bag on the bathroom basin,hair_brush,image44
what is in front of the chair in the table,briefcase,image610
how many chairs are there,3,image467
what is hung on the wall,"picture, picture",image54
what is stuck on the wall,photo,image1063
what colour is the wall,white,image566
how many legs in revolving chair,5,image782
what is found on the floor,hat,image1065
what is at the centre of the table,"vase, flower",image805
how many chairs are there,10,image1394
how many chair are,5,image258
what is on the right side of the lamp,monitor,image93
what are the colours of the clothes,"pink, black, white, blue",image99
how many picture frames are there,2,image842
what is on the table,computer,image605
what is on the ping pong table,ping_pong_racket,image641
what is on the left side of the tap,bottle_of_hand_wash_liquid,image653
what are the things on the night stand,"bottle_of_perfume, papers",image64
what is on the left side of the purple chair,door,image397
what is on the right side of the drawer table,chair,image917
what is present in the desk,shelves,image1043
what is left side of the headphones,tissue_roll,image59
what is beneath the framed picture,sofa,image1444
what is above the stove,microwave,image562
what is the largest object on the counter,grill,image137
what is on the left side of the mirror,blinds,image990
what is in front of the blinds,table,image936
what is to the left of the tv stand,trolley,image169
what object is below the table,floor_mat,image1274
what is to the left of the lamp,bed,image919
what is below the shelf,table,image17
what is behind the sofa,"window, decorative_item",image1298
what is the object close to the wall above the cot,window,image70
what is behind the sofa,"flower, vase",image1277
what is on the door,door_knob,image1002
what is on the left side of the tap,bottle_of_hand_wash_liquid,image651
what is on the table in front of the mirror,"books, remote_control",image982
what is the cloth hanging,towel,image652
what is in front of the blinds,ornamental_plant,image1108
what is on the right side of the black telephone and on the left side of the red chair,desk,image3
what is kept on top of the wooden bed handle,bottle,image1033
what is hung on the wall,wall_decoration,image1449
what is present in between both the beds,storage_rack,image1042
what is the object hung on the hanger,"shirts_in_hanger, bag",image90
what are found on the sofa,"pillow, clothes",image970
what is in the top right,chandelier,image1448
what is to the left of the bed,night_stand,image933
what is the largest object,sofa,image601
what is on the chair,clothes,image895
what is the object stuck on the wall,photo,image1121
what is on the table,table_runner,image1228
what is to the right side of the sofa,curtain,image1268
what is the object on the table,decoration_item,image1380
what is on the left side of the lamp,books,image939
what is above the chair,light_bulb,image274
what is on the left most side on the table behind the chair,printer,image617
how many knobs are visible,3,image477
waht is the object close to the door,door_knob,image912
what is on the floor,box,image377
what is behind the executive chair,shelves,image358
what is the object on the shelves on the side rack,photo,image103
what color are the cabinets,brown,image197
what is on the wall,picture,image949
what is the largest round object in this picture,ottoman,image1299
what are found on the cabinet,"lamp, tray, bottle, toy",image1094
what is in front of the window,table,image1194
what is behind the chair,board,image275
what is at the top right corner,piano,image1212
what is used to cover the bath tub,shower_curtain,image170
what is the object placed on a table below the bookshelf,flatbed_scanner,image16
what is the colour of the towel,white,image729
what is in front of the picture,"flower, vase",image832
what is on the left side of the plate,glass,image800
what is behind the table,sofa,image1206
what is the largest object,sofa,image14
what is the colour of the table and chair,brown,image1409
what is the largest object,bed,image1139
what is on the right side of the candle holder,decorative_item,image1438
what is on the right side of the bottle of liquid,sink,image655
what is on the top of the right cabinet,television,image1193
what is at the right side of the cabinet,window,image1186
what is at the centre of the table,"flower, vase",image1449
what is on the floor and on the right side of the painting,toy_box,image280
what is beneath the drawer,toy,image962
what is above the guitar case,hat,image1203
what is above the basket,magazine,image506
what is on the window,curtain,image1284
what are the things found on the cabinet,"book, file, lamp",image1157
what object is in the centre of the room,"table, chair",image344
how many four leg objects are in this picture,4,image478
what is the object close to the ceiling,light,image1364
how many handles are there,6,image835
what is above the television,picture,image1244
how many chairs are around the conference table in this picture,5,image271
what is on the left side of the tap,bottle_of_hand_wash_liquid,image682
what is on the left side of the cable,electrical_kettle,image847
what is above the tap,blinds,image866
which is the large object,sofa,image386
what is above the holder,blinds,image702
what are the objects kept in the shelves,books,image1196
what us in the wall,picture,image1159
what is found in front of the window,bed,image1111
what is on the cabinet,hat,image1054
what is kept near the window,lamp,image1009
what is on the wall in between the shelves,picture,image623
what is in front of the table,chair,image30
what is on the left side of the toilet,tissue_roll,image728
what is in the shelf on the right side of the room,decorative_bowl,image245
what is the tallest object,refridgerator,image830
what is the largest object,stove,image145
what is on the left side of the table,sofa,image639
what is opposite to the door,bed,image1179
what is above the vase,chandelier,image1449
how many chairs can you see,3,image773
what is on the right side of the tap,kitchen_utensils,image774
what is to the left of the shelf,toy_house,image322
what is to the left of the table,stairs,image347
what is to the right of the television,speaker,image177
what shadow is found on the wall,lamp_shade,image885
what is to the right of xerox machine,printer,image37
what are the objects on the bed,"pillow, blanket",image73
what are found on the top of the bed,"bed_sheets, pillow",image910
what is the object stuck on the wall,photo,image900
which object has the colorful circle pattern,bed_sheets,image525
what is behind the table,window,image1404
how many chairs are visible,3,image901
what is the object on the floor,floor_mat,image739
what is between the pictures on the right side of the dvd player,television,image192
what is the object on the floor left of the bed,cabinet,image538
what are the things in the cabinet,photo,image1328
what is in front of the table,chair,image1111
what is in front of the chair on the table,newspapers,image822
how many books are open above the monitor,1,image377
what is on the shelf,cup,image97
what object is on the floor near the curtain,shoe,image1267
what is to the right of the computer table,chair,image309
how many re swivel chairs are there around the table,4,image39
what is on the stool,clothes,image943
how many handles are there,7,image834
what is behind the chair,blinds,image878
what is the round object that is hung close to the cabinet above the fan,clock,image13
what is the object found on the right corner of the room,oven,image811
what is the smallest chair colour,blue,image1384
what is the colour of the curtains,red,image742
what is on the door,door_knob,image512
what is in front of the bed,"bag, paper",image1136
what is seen in the mirror reflection,mirror,image721
what object is found to the left side of the door,television,image1112
what is the object to which the jackets are hung close to,hangers,image115
what is the colour of the sheets,purple,image520
what is the object found on the bed,clothes,image1128
how many towels are in pink colour,4,image715
what is to the right of sofa,plant,image14
what is present in front of the window,bed,image1036
what is seen on the left bottom corner,knobs,image1050
what is found in the inner room,cabinet,image1386
what are the objects on the floor in front of the window,"table, chair",image1119
what is the object close to the wall,poster_board,image36
what is right of sofa,typewriter,image261
what is the largest object,sofa,image1329
what is the colour of the sheets,"pink, white",image1187
how many silver wash basins are there,2,image790
what is present on the wall near the door,light_switch,image1018
what is the largest object,piano,image1282
what is behind the table,chair,image371
what is to the right of the cabinet,window,image1075
what is the object close to the wall above the counter,window,image575
what is the colour of the wall,white,image1112
what is in the shelf,book,image952
what is the object on the right side of the white machine,jug,image862
what is in front of the piano,decorative_item,image1387
what is the largest object,sofa,image209
what is on the left side of the water cooler,tissue_roll,image820
what are stuck on the wall,photo,image1356
how many doors are there,2,image681
what are the objects that are attached close to the door,"door_knob, door_lock",image15
what is on the floor,floor_mat,image1227
what is the colour of the chairs,"white, brown, red, green",image1424
what is the colour of the wall,red,image374
how many shower knobs are found,4,image686
what is at the centre of the table,book,image1312
how many knobs are there,3,image1215
what is the object on the floor right of the door,floor_mat,image687
how many lamps are there,2,image1092
how many chairs are there,4,image452
what are the things behind the chairs,photo,image1371
what color is the wall behind the projector screen,black,image7
what is to right of towel,shelves,image502
what is to left of the stove burner,sink,image250
what are the objects on the side table,"hand_sanitizer, tissue_box",image57
what is the colour of the chart on the table,yellow,image618
what is on the stuck on the wall,photo,image1098
what is the colour of the lamp,white,image1349
what is on the right side of the white box,paper,image453
how many windows are there in the room,1,image661
what is stuck on the wall,photo,image1368
what is on the paper,pen,image392
what is on the left side of the wall,table,image1035
what is on the sofa,book,image439
what is present below the stereo,table,image1003
what is found right of the table on the wall,window,image1269
what is to the right side of the bunk bed,chair,image1056
what is object close to the wall above the sofa,picture,image50
what is behind the bottle of liquod,stove,image820
what is the red object close to the pillar,fire_alarm,image109
what is inside the plastic tray,pen,image309
what is the rectangular shaped object on the night stand on the right side of the bed,laptop,image79
what is on the left side,window,image1350
what is to the left of coffee grinder,coffee_machine,image121
what is the edible object kept on the trays,bread,image123
what is the big black object next to the books,television,image1251
which colour is more,red,image318
what is above the whit clothes,hat,image92
what is largest object,shelves,image540
what is behind the tissue roll,bottle_of_liquid,image820
how many drawers are in the table,3,image370
what are the objects close to the wall,"wall_decoration, framed_certificate",image55
what is found on the right side of the window,chair,image910
what are the objects on the bed,"pillow, blanket, book",image1036
what is the object close to the knife rack,knife,image892
what are the objects on the coffee table,"books, plate",image1248
what is the object with blue colour handle,measuring_cup,image862
what is the colour of the flower in the flower pot,red,image1207
what is stuck to the right of the window,photo,image1404
what is the object on the floor right of the shelf,chair,image494
what is object on the floor mat,table,image1242
what is on the left side of the clothes on the sofa,paper,image1293
what is stuck on the top right corner of the wall,photo,image1211
what is the object in front of the projector screen,table,image27
what is at the opposite side of the window,bed,image1186
what is to the right of the table,cabinet,image1251
what is the object on the cd rack,cd_disc,image90
how many frames are on the wall above the lamp shade and the armchair,3,image588
what is near the tissue roll,salt_and_pepper,image346
what is above sink,mirror,image510
what is on the right side of the picture,lamp,image579
what is the largest object,bed,image971
what is at the left corner in between the papers on the table,id_card,image638
what is on the left side of the lamp,door,image1232
how many towels are there,1,image690
what object is found on the left top,window,image1135
what is found to the top of the refridgerator,bookrack,image821
what are the things on the coffee table,"candelabra, books, chessboard, decoration_item",image1211
what is to the left of the table,sofa,image1313
how many pictures are there on the wall,5,image1263
what is on the left side of the rack,yoga_mat,image542
what color is the towel,pink,image690
what is colour of cpu,black,image20
what is the tall white object on the table,tissue_roll,image448
what are the colours of the books in the shelf,"black, red, white",image375
what is right side of the tap,cup,image46
what is the object close to the counter,sink,image576
which background used in photo frame,white,image732
what is in front of the whiteboard,garbage_bin,image28
what is on the table,"book, picture",image1251
what is in between the chairs,table,image403
how many fans are there,1,image13
what is behind the chair,bookshelf,image1040
what is on the left side of the carton,stand,image622
how many papers are on the wall on the left side of the modem,1,image20
what is on the left of the fire place,cables,image1307
what is on the bed,soft_toy,image944
what holds the globe,globe_stand,image481
what is the white object in front of the wall,towel,image665
what is the colour of the lamp on the night stand,red,image991
what is at the left side of the bed,cabinet,image1192
what is on the wall,wall_decoration,image1418
what is on the right side of the wall,"table, chair",image1022
what is the object on the floor in the corner,stool,image1020
what is the object close to the wall behind the table,window,image596
what is on the left side on the table,monitor,image617
what is the black object on the right side of the flipped table,chair,image28
what is the colour of the cloth on the comforter,"blue, gray",image79
what is in front of chair,window,image523
what is on the right side of the crib,cloth_bag,image944
what is at the right side,table,image1425
what is behind the dining table,window,image1437
what are the objects on the shelves,"toy, photo",image1065
what is the largest object on the floor,sofa,image591
what is the colour of the table,black,image1427
how many pillows are there,8,image1206
what is behind the chair,lamp,image1232
how many bottles are there on the table,2,image812
what is in front of chair,bag,image1154
what is the object on the floor left of the bathtub,floor_mat,image686
how many chairs are there,4,image758
what is on the right side of the paper,laptop,image623
what is the largest object,bunk_bed,image1160
what is left of chair,window,image264
what is on the left side,window,image1347
what is on the right side of the drawer,window,image1148
what is the blue object on the ground close to the pillar,garbage_bin,image110
what is behind the drawer table,window,image1038
what is on the left side of the bottle,lamp,image605
what is to the left of the computer,printer,image455
how many drawers are there,3,image557
what object is found under the storage,bag,image893
how many armchairs are there,2,image1232
what is in front of the table,sofa,image1343
what is on the sofa,towel,image435
what are the objects hung close on the hangers,clothes,image94
how many lights are on,3,image22
what is the electrical object on the cabinet,blender,image134
what is on the left side of the salt shaker,plastic_box,image810
how many white printers are there,2,image16
which object on the table is used for cutting,scissor,image318
what is the object found behind the table,vase,image809
what is on the right side of the pillow,book,image538
what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image44
what is hanged behind the curtain,towel,image652
what is seen on the top of the rack,chandelier,image1346
what is on the left side of the wall,refridgerator,image823
what is the white electric appliance close to the dish rack,electrical_kettle,image575
what is to the right of the toy stool,toy_table,image444
what is left side of the bed,night_stand,image56
what are around the table,chair,image1344
what is the colour of the kitchen,white,image203
what colour is the door,brown,image548
what is the largest object,refridgerator,image253
what is to the right of sofa,air_conditioner,image209
what is on the chair back behind the counter,jacket,image453
what is on the left side of the mirror,towel_rod,image655
how many chairs are there,4,image5
what is in front of the chair,stool,image1310
what is on the right most side,piano,image1044
what is the largest object is in front of the mirror,ornamental_plant,image735
what is the largest object,table,image565
how many tables are there,3,image118
what is above the briefcase,framed_certificate,image610
what is the object on the bed,pillow,image1163
how many green lamps are there on the desk,1,image585
how many knobs are there,2,image689
what is the object close to the wall behind the table,switchbox,image29
what is in front of the bucket,paper,image817
how many electric toothbrushes are there,3,image509
what is the object on the white wall behind the red chair,whiteboard,image33
what is beneath the blinds,"drawer, bed",image994
what is beneath the blinds,table,image1162
what are the objects found near the table,"lamp, chair, garbage_bin",image1140
what is on the chair,clothes,image553
what is next to the black paper holders in the left side,tape,image108
what is on the table,decorative_item,image1321
how many pillows are there,4,image79
what is the object on the floor close to the wall corner,lamp,image149
what is behind the fain,sofa,image604
what is the object on the floor left of the stool,bed,image962
how many chairs are there,4,image565
what is to the left of the sofa,television,image1327
what is in front of the sofa,television,image1244
what is left of sink,bottle,image252
what is on the night stand,lamp,image514
what is the colour of the table and chair,brown,image1433
what is on the table,"salt_shaker, bowl, decorative_plate, decorative_item",image1342
what is on the stove,frying_pan,image144
what is between the sidetable and the window below the mantel,fireplace,image1225
how many stools are there,2,image1315
what is on the left side of the table,sofa,image380
what is attached to the bunk bed,ladder,image1077
what is at the centre of the chairs,table,image1394
what is on the ceiling,light,image1382
what are the things on the table,"books, bowl",image1205
what is at the top of the bookshelf,toy,image986
what is in front of computer,chair,image585
what is front of the shelf,stool,image102
what is on the left side of the alarm,paper,image1126
what is found on the cabinet,computer,image1150
what object is found on the sofa,pillow,image1230
what is on the right side of the bed,toy,image943
what is in front of the blinds,lamp,image1414
what color is the hat on the top right of the bookshelf,"black, white",image80
what object is found near the sink,bottle_of_hand_wash_liquid,image856
how many drawers are there,4,image928
what is the colour of the wall,orange,image1352
what is to the right of the night lamp,tissue_box,image174
what is the white object in the left side of the toilet,garbage_bin,image497
what in the brown object next to the black armchair,table,image28
what is found behind the sink,window,image844
what is on the ceiling,light,image1390
what is the colour of the books,"pink, red, green, yellow, blue",image623
what is the object on the cpu,doll,image955
what is at the left corner of the room,window,image1087
what object is found under the table,garbage_bin,image1140
what is in between the chairs,stool,image632
what is in front of the whiteboard,chair,image33
what is right of computer,printer,image553
what is on the table left side of the window,printer,image369
how many pillows are there on the bed,2,image1022
what is seen on the wall behind the bed,lamp_shade,image1021
what is hanged before the window,curtain,image1360
what is the big white object behind the table,refridgerator,image415
what is on the left most side on the shelf,bottle_of_liquid,image658
what is the colour of the object on the left side of the sink,red,image682
what is the object on the shelf above the counter,microwave,image828
what is behind the lamp,paper,image955
what is to the right of the white colour sofa,lamp,image1429
what is in front of the bed,suitcase,image950
what is in front of the sofa,coffee_table,image1210
what is on the bed,"pillow, comforter, bed_sheets",image1032
what is on the right side of the microwave,refridgerator,image871
what is on the left side of the 3 tier round table,window,image548
what is behind the chair,window,image341
what is the object on the table,television,image602
what is at the right corner of the image929,fan,image929
what is in front of the shelf,bed,image233
what is on the left side of the bed,night_stand,image909
what is on the left side of the bag,door,image1167
what color is the door of the garbage bin,black,image414
what is on the right side of the fishes on the wall,picture,image1325
what is the largest object,blinds,image40
how many coffee tables are,4,image117
what is on the floor on the right side of the image10 behind the door frame in fornt of the cabinet,garbage_bin,image10
what is on the carton in front of the doll house,toy,image400
what are the objects on the table,"monitor, keyboard, mouse, computer, paper",image29
what is the object on the table,clothes,image1058
what is on the right side of the monitor,papers,image621
what is inside the toy basket,toy,image445
what is to the left of the laptop,printer,image393
what is on the left side of the comforter,lamp,image398
what is the colour of the toilet,white,image45
what are the things on the cabinet,"coffee_machine, utensils",image1350
what is on the floor,clothes,image1036
what is on the wall,"framed_certificate, picture",image1050
how many posters are,2,image185
what is on the speaker,dvd,image602
what is the colour of the cupboard handles,black,image792
what is on the microwave,"coffee_machine, basket",image570
what is the object close to the ceiling,light,image1397
what is on the wall,picture,image1041
what is kept on the floor to the left side of the light switch,picture,image1030
what object is in between the sofa,stool,image1298
what is found in front of the bookshelf,toy_house,image1146
what is object on the table top,tablecloth,image149
how many tables are there,3,image20
how many photos found on the room,1,image753
what are the things on the table,"bottle, bag, bowl, cup",image1349
what is to the right of the fireplace,cabinet,image1323
what is under the sink,garbage_bin,image408
what is the object close to the counter,sink,image649
what is in the shelf,"glass, bowl",image1389
what is on the right side of the square shaped chair,fireplace,image1448
what is the colour of the table,red,image609
how many vases are there to the right side of the floor mat,3,image683
what is in front of the sofa,carton,image486
what is in between the chair,stool,image322
what is the colour of the door,brown,image678
what is the object close to the table top,tablecloth,image1379
what is on the top of the dresser close to the red deoderant,box,image82
what are the objects that are wired close to the ceiling,spot_light,image5
what is the object right of the cup on the counter,tissue_box,image124
what is on the wall,picture,image1386
what is the colour of the sofa,white,image226
what is on the ceiling,fan,image798
what is to the right of the table,sink,image326
what is hanged before the window,curtain,image1379
what is in the crib,sheets,image401
how many doors are open,1,image1145
what is in front of the table,cradle,image1084
what is on the right side of the monitor,tissue_box,image637
what is above the flower,light,image824
how many books are at the corner of the table,3,image374
what is the object on the floor in front of the wall,cabinet,image920
what is on the left side of the bed,night_stand,image1174
what is on the stove,tea_kettle,image779
how many caps are there,4,image1162
what is on the table,vase,image265
what are the things found near the sink,"plate, utensils, bottle_of_hand_wash_liquid",image833
what is the name of thing hang in top right side,shower_hose,image726
what is the color of the stand next to the fax machine,blue,image11
how many racks are there in the bookshelf,6,image1102
what is on the table,"book, paper, decorative_item",image1359
what is on the right side of the piano bench,stroller,image1281
what is in the shelf,television,image1242
what is to the right of the bag,chair,image1237
what is on the sofa,pillow,image546
what is behind the chair,table,image528
what is found behind the lamp on the wall,wall_decoration,image962
what is behind the table,blinds,image426
what is in front of the sofa,table,image372
what is the screen colour of computer,white,image749
what is behind the fan,air_conditioner,image584
what is on the left most side on the table,coffee_machine,image587
how many knobs are visible,3,image406
what is on the left side of the container,bag,image954
what is the object on the floor in front of the wall,refridgerator,image566
what is to the left of the sofa,table,image247
how many lamps are there,2,image1329
what is near the tape dispenser,fax_machine,image450
what is the colour of the basket,green,image519
what is the object close to the counter,sink,image677
what is in front of the closed door,garbage_bin,image8
what is in front of the bed,bench,image1014
what is the object close to the wall right of the shelf,window,image979
what is to the right of the cabinet,bed,image1067
what is the object on the wooden chair,towel,image864
what is the colour of the equipment on the pillar,red,image110
how many steps does the step stool have,3,image104
what is behind the lamp,blinds,image1412
what is on the chair,toy_doll,image1001
what are on the racks to the right side of the refridgerator,books,image763
what is near by deck,refridgerator,image779
what is to the left corner of the table,telephone,image939
what is on the left side of the cooler,stool,image833
what is behind the chair,game_table,image422
what is the largest object,table,image888
what is the colour of the comforter,"blue, yellow",image1056
how many glass cups are there,4,image800
what is on the right side of the lamp on the table,bottle_of_liquid,image76
what is on the left side of the chair,paper,image596
what is on the chair,clothes,image418
what is in door,door_knob,image539
what color is the bath mat,white,image730
what is on the table,"laptop, printer",image57
what is the colour of green liquid bottle cap,white,image786
what is the largest object,bed,image1105
what is found below the photo,cabinet,image1423
what is present on the wall near the door,light_switch,image1020
what are the colours are on the bed,"pink, black, green, purple",image1133
what object is found inbetweeng the bag and the tea kettle,cup,image851
what is hanging on the wall on the left side of the door way,calendar,image564
what is the object close to the wall,picture,image815
what is found on the floor,book,image1067
what is near the door,shelves,image615
what is the colour of the table and chair,brown,image1180
what is on the left side of the container,stove,image776
what is on the table,decorative_plate,image1354
what is the center object on the floor,table,image1272
what is on the left side of the drawer,dishwasher,image818
what in front of the chair,floor,image429
what is on the sofa,pillow,image1267
what is in front of the chair,plastic_box,image401
what are the objects close to the wall,"clock, poster_board, wire, telephone, fire_alarm",image21
what is on the left side of the picture,decorative_plate,image1321
how many frames are there on the wall,2,image1408
what color is the television,black,image402
what is found behind the table,stairs,image1363
what is on the right side of the door,chair,image925
what is on the table,"alarm, container",image1123
what color are the chairs,blue,image307
what are on the wall on the left side of the green curtain but not behind the garbage bin,"clock, telephone",image8
how many drawers are there,9,image814
what is the colour of the book,"red, black",image1393
what is behind the shelf,sofa,image230
what is the object close to the wall,picture,image1007
what is the colour of the telephone,black,image3
what is spread on the bed,bed_sheets,image1017
what is behind the books on the table,decorative_plate,image1246
what is the colour of the wall,green,image1397
what is at the top right corner,door,image1182
what is near the chair,fan,image1337
what is on the right side of the shelf,oven,image763
what is to the right of the keyboard,bookshelf,image1089
what is on the left side of the chair,vase,image1108
what is near the window on the table,printer,image369
what is on the right side of the bed,chair,image910
what is the colour of the chair,black,image476
what are the objects found on the cabinet,"lamp, alarm_clock, book",image1158
what are the objects on the bed,"blanket, pillow",image65
what is in front of the book rack,chair,image483
what is to the right of the plant pot,table,image1270
what is behind the chair,stand,image285
what is behind the pull down faucet,window_shelf,image807
what is on the table below the television,video_game,image431
what is on the table,"book, remote_control",image1227
how many students are visible,3,image305
